Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
FTNT,Fortinet Inc. Common Stock,$168.77,-1.58,-0.928%,27541731400.00,United States,2009,2365282,Technology,Computer peripheral equipment
GDDY,GoDaddy Inc. Class A Common Stock,$81.66,-0.53,-0.645%,13869542700.00,United States,2015,1473099,Technology,EDP Services
GDRX,GoodRx Holdings Inc. Class A Common Stock,$47.82,-1.82,-3.666%,18714701161.00,United States,2020,2426787,Technology,EDP Services
GDS,GDS Holdings Limited ADS,$108.66,0.62,0.574%,20308287674.00,China,2016,893439,Technology,Computer Software: Programming Data Processing
GOOG,Alphabet Inc. Class C Capital Stock,$2070.86,5.98,0.29%,1396042654082.00,United States,2004,1667377,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$2060.12,5.86,0.285%,1388802426300.00,United States,,1732899,Technology,Computer Software: Programming Data Processing
GWRE,Guidewire Software Inc. Common Stock,$120.25,-2.83,-2.299%,10071440025.00,United States,2012,725044,Technology,Computer Software: Prepackaged Software
HPE,Hewlett Packard Enterprise Company Common Stock,$14.47,0.00,0.00%,18716942251.00,United States,2015,13425225,Technology,Retail: Computer Software & Peripheral Equipment
HPQ,HP Inc. Common Stock,$27.38,0.26,0.959%,35310242223.00,United States,,11845463,Technology,Computer Manufacturing
HUBS,HubSpot Inc. Common Stock,$503.61,-24.56,-4.65%,23109466323.00,United States,2014,980557,Technology,Computer Software: Prepackaged Software
IBM,International Business Machines Corporation Common Stock,$120.71,-0.15,-0.124%,107559504472.00,United States,,4531464,Technology,Computer Manufacturing
INFO,IHS Markit Ltd. Common Shares,$89.46,-1.98,-2.165%,35479113342.00,Bermuda,1996,1705934,Technology,Computer Software: Programming Data Processing
INFY,Infosys Limited American Depositary Shares,$17.38,-0.23,-1.306%,73753621904.00,India,,8335731,Technology,EDP Services
INTC,Intel Corporation Common Stock,$61.12,0.41,0.675%,248330560000.00,United States,,27374594,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$399.09,-2.46,-0.613%,109368947501.00,United States,1993,2483052,Technology,Computer Software: Prepackaged Software
IPG,Interpublic Group of Companies Inc. (The) Common Stock,$26.58,0.09,0.34%,10384219353.00,United States,,3721049,Technology,Advertising
IPGP,IPG Photonics Corporation Common Stock,$228.78,-0.58,-0.253%,12223082595.00,United States,2006,302111,Technology,Semiconductors
IR,Ingersoll Rand Inc. Common Stock,$45.58,1.81,4.135%,19036743615.00,United States,2017,4562676,Technology,Industrial Machinery/Components
ITW,Illinois Tool Works Inc. Common Stock,$201.53,0.51,0.254%,63816945862.00,United States,,871921,Technology,Industrial Machinery/Components
JKHY,Jack Henry & Associates Inc. Common Stock,$149.31,-3.55,-2.322%,11359097034.00,United States,1985,881820,Technology,EDP Services
KC,Kingsoft Cloud Holdings Limited American Depositary Shares,$61.31,0.57,0.938%,13366669233.00,China,2020,1878315,Technology,Computer Software: Prepackaged Software
LDOS,Leidos Holdings Inc. Common Stock,$93.51,-10.29,-9.913%,13308434933.00,United States,,3113887,Technology,EDP Services
LOGI,Logitech International S.A. Ordinary Shares,$110.58,-2.44,-2.159%,18679320229.00,United States,1997,1692432,Technology,Computer peripheral equipment
LRCX,Lam Research Corporation Common Stock,$562.65,-5.15,-0.907%,80407363435.00,United States,1984,1716739,Technology,Industrial Machinery/Components
MCHP,Microchip Technology Incorporated Common Stock,$154.93,-0.26,-0.168%,41716763674.00,United States,1993,2354958,Technology,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,$380.69,-11.87,-3.024%,22942784599.00,United States,2017,1201029,Technology,Computer Software: Prepackaged Software
MPWR,Monolithic Power Systems Inc. Common Stock,$371.66,-1.00,-0.268%,16823933220.00,United States,2004,531184,Technology,Semiconductors
MRVL,Marvell Technology Group Ltd. Common Stock,$48.84,-0.85,-1.711%,32810712000.00,Bermuda,2000,13210716,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$233.27,-1.24,-0.529%,1759372671968.00,United States,1986,30228704,Technology,Computer Software: Prepackaged Software
MSI,Motorola Solutions Inc. Common Stock,$178.55,-2.00,-1.108%,30180001894.00,United States,,577125,Technology,Radio And Television Broadcasting And Communications Equipment
MTCH,Match Group Inc. Common Stock,$161.33,4.62,2.948%,42911076755.00,United States,,2675722,Technology,Computer Software: Programming Data Processing
MU,Micron Technology Inc. Common Stock,$88.23,1.95,2.26%,98700385739.00,United States,,23203201,Technology,Semiconductors
MXIM,Maxim Integrated Products Inc. Common Stock,$94.19,-1.13,-1.185%,25246788101.00,United States,1988,1320126,Technology,Semiconductors
NET,Cloudflare Inc. Class A Common Stock,$77.28,-1.10,-1.403%,23851699200.00,United States,2019,6740268,Technology,Computer Software: Prepackaged Software
NICE,NICE Ltd American Depositary Shares,$233.20,-7.33,-3.047%,14629171894.00,Israel,,907546,Technology,Computer Software: Prepackaged Software
NLOK,NortonLifeLock Inc. Common Stock,$19.83,-0.68,-3.315%,11539089850.00,United States,,7124809,Technology,Computer Software: Prepackaged Software
NOK,Nokia Corporation Sponsored American Depositary Shares,$3.95,-0.01,-0.253%,22418071578.00,Finland,1994,68365820,Technology,Radio And Television Broadcasting And Communications Equipment
NOW,ServiceNow Inc. Common Stock,$551.75,1.49,0.271%,108198175000.00,United States,2012,1571200,Technology,Computer Software: Prepackaged Software
NTAP,NetApp Inc. Common Stock,$69.33,-1.74,-2.448%,15487270749.00,United States,1995,1691098,Technology,Electronic Components
NTES,NetEase Inc. American Depositary Shares,$120.25,2.79,2.375%,82427537943.00,China,,2640020,Technology,Computer Software: Prepackaged Software
NUAN,Nuance Communications Inc. Common Stock,$44.92,-0.28,-0.619%,12804897356.00,United States,,4012825,Technology,Computer Software: Prepackaged Software
NVDA,NVIDIA Corporation Common Stock,$565.68,-8.55,-1.489%,350155920000.00,United States,1999,9794483,Technology,Semiconductors
NXPI,NXP Semiconductors N.V. Common Stock,$181.08,-4.53,-2.441%,50657056482.00,Netherlands,2010,5191278,Technology,Semiconductors
OKTA,Okta Inc. Class A Common Stock,$270.58,-3.89,-1.417%,35030932468.00,United States,2017,1387272,Technology,Computer Software: Prepackaged Software
OMC,Omnicom Group Inc. Common Stock,$70.70,0.12,0.17%,15201517373.00,United States,,1714273,Technology,Advertising
ON,ON Semiconductor Corporation Common Stock,$40.28,-0.16,-0.396%,16590569540.00,United States,,11498655,Technology,Semiconductors
ORCL,Oracle Corporation Common Stock,$64.50,0.05,0.078%,189890193000.00,United States,1986,18175420,Technology,Computer Software: Prepackaged Software
OTEX,Open Text Corporation Common Shares,$45.10,-0.50,-1.096%,12302677554.00,Canada,1996,799411,Technology,EDP Services
